year,component,timestamp,scaling_factor
2018-2024,CO2,2022-01-01 00:00:00+01:00,0.3643078009617976
2018-2024,CO2,2022-01-01 01:00:00+01:00,0.23347514584990064
2018-2024,CO2,2022-01-01 02:00:00+01:00,0.19349087703640835
2018-2024,CO2,2022-01-01 03:00:00+01:00,0.09443280860595742
2018-2024,CO2,2022-01-01 04:00:00+01:00,0.05347581838932917
2018-2024,CO2,2022-01-01 05:00:00+01:00,0.01530729958549425
2018-2024,CO2,2022-01-01 06:00:00+01:00,0.11354893499952731
2018-2024,CO2,2022-01-01 07:00:00+01:00,0.12703929832620342
2018-2024,CO2,2022-01-01 08:00:00+01:00,0.36321719050834333
2018-2024,CO2,2022-01-01 09:00:00+01:00,0.6378408104512545
2018-2024,CO2,2022-01-01 10:00:00+01:00,0.915069340096932
2018-2024,CO2,2022-01-01 11:00:00+01:00,1.1945404635693
2018-2024,CO2,2022-01-01 12:00:00+01:00,1.146314124066324
2018-2024,CO2,2022-01-01 13:00:00+01:00,1.335483913536828
2018-2024,CO2,2022-01-01 14:00:00+01:00,1.776615001106832
2018-2024,CO2,2022-01-01 15:00:00+01:00,2.101781717943816
2018-2024,CO2,2022-01-01 16:00:00+01:00,1.822431252854328
2018-2024,CO2,2022-01-01 17:00:00+01:00,1.6594026478624921
2018-2024,CO2,2022-01-01 18:00:00+01:00,1.534024930738884
2018-2024,CO2,2022-01-01 19:00:00+01:00,0.9966433473605399
2018-2024,CO2,2022-01-01 20:00:00+01:00,0.6460085164792274
2018-2024,CO2,2022-01-01 21:00:00+01:00,0.49171588091493296
2018-2024,CO2,2022-01-01 22:00:00+01:00,0.5083288841378751
2018-2024,CO2,2022-01-01 23:00:00+01:00,0.18350830295326098
2018-2024,CO2,2022-01-02 00:00:00+01:00,0.12270305556552871
2018-2024,CO2,2022-01-02 01:00:00+01:00,0.019833288900990207
2018-2024,CO2,2022-01-02 02:00:00+01:00,0.0028117594181716722
2018-2024,CO2,2022-01-02 03:00:00+01:00,0.008457082005159692
2018-2024,CO2,2022-01-02 04:00:00+01:00,0.05347581838932917
2018-2024,CO2,2022-01-02 05:00:00+01:00,0.01530729958549425
2018-2024,CO2,2022-01-02 06:00:00+01:00,0.11354893499952731
2018-2024,CO2,2022-01-02 07:00:00+01:00,0.12703929832620342
2018-2024,CO2,2022-01-02 08:00:00+01:00,0.36321719050834333
2018-2024,CO2,2022-01-02 09:00:00+01:00,0.6378408104512545
2018-2024,CO2,2022-01-02 10:00:00+01:00,0.915069340096932
2018-2024,CO2,2022-01-02 11:00:00+01:00,1.1945404635693
2018-2024,CO2,2022-01-02 12:00:00+01:00,1.146314124066324
2018-2024,CO2,2022-01-02 13:00:00+01:00,1.335483913536828
2018-2024,CO2,2022-01-02 14:00:00+01:00,1.776615001106832
2018-2024,CO2,2022-01-02 15:00:00+01:00,2.101781717943816
2018-2024,CO2,2022-01-02 16:00:00+01:00,1.822431252854328
2018-2024,CO2,2022-01-02 17:00:00+01:00,1.6594026478624921
2018-2024,CO2,2022-01-02 18:00:00+01:00,1.534024930738884
2018-2024,CO2,2022-01-02 19:00:00+01:00,0.9966433473605399
2018-2024,CO2,2022-01-02 20:00:00+01:00,0.6460085164792274
2018-2024,CO2,2022-01-02 21:00:00+01:00,0.49171588091493296
2018-2024,CO2,2022-01-02 22:00:00+01:00,0.5083288841378751
2018-2024,CO2,2022-01-02 23:00:00+01:00,0.18350830295326098
2018-2024,CO2,2022-01-03 00:00:00+01:00,0.14153206686052733
2018-2024,CO2,2022-01-03 01:00:00+01:00,0.02287674384196584
2018-2024,CO2,2022-01-03 02:00:00+01:00,0.0032432291122193443
2018-2024,CO2,2022-01-03 03:00:00+01:00,0.009754836913250317
2018-2024,CO2,2022-01-03 04:00:00+01:00,0.013972861799762757
2018-2024,CO2,2022-01-03 05:00:00+01:00,0.1646244797839774
2018-2024,CO2,2022-01-03 06:00:00+01:00,0.43905375134253344
2018-2024,CO2,2022-01-03 07:00:00+01:00,1.1207636962512841
2018-2024,CO2,2022-01-03 08:00:00+01:00,1.0727426082261482
2018-2024,CO2,2022-01-03 09:00:00+01:00,1.0091092232258159
2018-2024,CO2,2022-01-03 10:00:00+01:00,0.9438526075685759
2018-2024,CO2,2022-01-03 11:00:00+01:00,0.8996908429595281
2018-2024,CO2,2022-01-03 12:00:00+01:00,1.16617050963714
2018-2024,CO2,2022-01-03 13:00:00+01:00,1.55355700093104
2018-2024,CO2,2022-01-03 14:00:00+01:00,1.121240305252236
2018-2024,CO2,2022-01-03 15:00:00+01:00,1.338088615597632
2018-2024,CO2,2022-01-03 16:00:00+01:00,1.680861961125816
2018-2024,CO2,2022-01-03 17:00:00+01:00,1.456670120505492
2018-2024,CO2,2022-01-03 18:00:00+01:00,1.274193587760888
2018-2024,CO2,2022-01-03 19:00:00+01:00,1.029730364275044
2018-2024,CO2,2022-01-03 20:00:00+01:00,0.7810639561422742
2018-2024,CO2,2022-01-03 21:00:00+01:00,0.5691689856672056
2018-2024,CO2,2022-01-03 22:00:00+01:00,0.38598977649323707
2018-2024,CO2,2022-01-03 23:00:00+01:00,0.19579355057855508
2018-2024,CO2,2022-01-04 00:00:00+01:00,0.04713406654507665
2018-2024,CO2,2022-01-04 01:00:00+01:00,0.01722127915744289
2018-2024,CO2,2022-01-04 02:00:00+01:00,0.020630444473031247
2018-2024,CO2,2022-01-04 03:00:00+01:00,0.014497572806831472
2018-2024,CO2,2022-01-04 04:00:00+01:00,0.038136867152698636
2018-2024,CO2,2022-01-04 05:00:00+01:00,0.15513780150409512
2018-2024,CO2,2022-01-04 06:00:00+01:00,0.5222604177585354
2018-2024,CO2,2022-01-04 07:00:00+01:00,1.253513425206888
2018-2024,CO2,2022-01-04 08:00:00+01:00,0.932100863260848
2018-2024,CO2,2022-01-04 09:00:00+01:00,1.0240987722723
2018-2024,CO2,2022-01-04 10:00:00+01:00,0.882233218640268
2018-2024,CO2,2022-01-04 11:00:00+01:00,0.908370186410592
2018-2024,CO2,2022-01-04 12:00:00+01:00,0.9085707010927561
2018-2024,CO2,2022-01-04 13:00:00+01:00,1.262411971420416
2018-2024,CO2,2022-01-04 14:00:00+01:00,1.208296709216316
2018-2024,CO2,2022-01-04 15:00:00+01:00,1.500993381130848
2018-2024,CO2,2022-01-04 16:00:00+01:00,1.861973042958252
2018-2024,CO2,2022-01-04 17:00:00+01:00,1.754409516510624
2018-2024,CO2,2022-01-04 18:00:00+01:00,1.582728229916124
2018-2024,CO2,2022-01-04 19:00:00+01:00,1.474099930968024
2018-2024,CO2,2022-01-04 20:00:00+01:00,1.073779201745208
2018-2024,CO2,2022-01-04 21:00:00+01:00,0.5140384993650703
2018-2024,CO2,2022-01-04 22:00:00+01:00,0.5222053439656307
2018-2024,CO2,2022-01-04 23:00:00+01:00,0.25164530484926645
2018-2024,CO2,2022-01-05 00:00:00+01:00,0.08526218573492594
2018-2024,CO2,2022-01-05 01:00:00+01:00,0.01462322750213393
2018-2024,CO2,2022-01-05 02:00:00+01:00,0.002455987634341269
2018-2024,CO2,2022-01-05 03:00:00+01:00,0.002455987634341269
2018-2024,CO2,2022-01-05 04:00:00+01:00,0.031992735766668126
2018-2024,CO2,2022-01-05 05:00:00+01:00,0.06529172046470022
2018-2024,CO2,2022-01-05 06:00:00+01:00,0.40420049424067167
2018-2024,CO2,2022-01-05 07:00:00+01:00,1.1969320203498242
2018-2024,CO2,2022-01-05 08:00:00+01:00,0.93294740154738
2018-2024,CO2,2022-01-05 09:00:00+01:00,0.8524119736187549
2018-2024,CO2,2022-01-05 10:00:00+01:00,1.298281940045184
2018-2024,CO2,2022-01-05 11:00:00+01:00,1.112613687289836
2018-2024,CO2,2022-01-05 12:00:00+01:00,1.148929674843132
