year,component,timestamp,scaling_factor
2018-2024,CO2,2022-01-01 00:00:00+01:00,0.1871115487359748
2018-2024,CO2,2022-01-01 01:00:00+01:00,0.12787281493387218
2018-2024,CO2,2022-01-01 02:00:00+01:00,0.06615606531579904
2018-2024,CO2,2022-01-01 03:00:00+01:00,0.05474202666925609
2018-2024,CO2,2022-01-01 04:00:00+01:00,0.0675406243918484
2018-2024,CO2,2022-01-01 05:00:00+01:00,0.06783161083797247
2018-2024,CO2,2022-01-01 06:00:00+01:00,0.07416778024510977
2018-2024,CO2,2022-01-01 07:00:00+01:00,0.08432529173483062
2018-2024,CO2,2022-01-01 08:00:00+01:00,0.1523539487811062
2018-2024,CO2,2022-01-01 09:00:00+01:00,0.27362328479624337
2018-2024,CO2,2022-01-01 10:00:00+01:00,0.554955187427797
2018-2024,CO2,2022-01-01 11:00:00+01:00,0.5533001946500583
2018-2024,CO2,2022-01-01 12:00:00+01:00,0.37262589574704963
2018-2024,CO2,2022-01-01 13:00:00+01:00,0.2553609875922425
2018-2024,CO2,2022-01-01 14:00:00+01:00,0.3691768629786704
2018-2024,CO2,2022-01-01 15:00:00+01:00,0.3966236168065994
2018-2024,CO2,2022-01-01 16:00:00+01:00,0.47458571819210166
2018-2024,CO2,2022-01-01 17:00:00+01:00,0.42932980847758934
2018-2024,CO2,2022-01-01 18:00:00+01:00,0.36153027624302475
2018-2024,CO2,2022-01-01 19:00:00+01:00,0.2828462489898209
2018-2024,CO2,2022-01-01 20:00:00+01:00,0.2734773177522336
2018-2024,CO2,2022-01-01 21:00:00+01:00,0.26827680414589095
2018-2024,CO2,2022-01-01 22:00:00+01:00,0.19357661082919095
2018-2024,CO2,2022-01-01 23:00:00+01:00,0.13836198502631805
2018-2024,CO2,2022-01-02 00:00:00+01:00,0.06694822354299541
2018-2024,CO2,2022-01-02 01:00:00+01:00,0.04577133730341029
2018-2024,CO2,2022-01-02 02:00:00+01:00,0.05633059441633141
2018-2024,CO2,2022-01-02 03:00:00+01:00,0.05405998794601919
2018-2024,CO2,2022-01-02 04:00:00+01:00,0.0675406243918484
2018-2024,CO2,2022-01-02 05:00:00+01:00,0.06783161083797247
2018-2024,CO2,2022-01-02 06:00:00+01:00,0.07416778024510977
2018-2024,CO2,2022-01-02 07:00:00+01:00,0.08432529173483062
2018-2024,CO2,2022-01-02 08:00:00+01:00,0.1523539487811062
2018-2024,CO2,2022-01-02 09:00:00+01:00,0.27362328479624337
2018-2024,CO2,2022-01-02 10:00:00+01:00,0.554955187427797
2018-2024,CO2,2022-01-02 11:00:00+01:00,0.5533001946500583
2018-2024,CO2,2022-01-02 12:00:00+01:00,0.37262589574704963
2018-2024,CO2,2022-01-02 13:00:00+01:00,0.2553609875922425
2018-2024,CO2,2022-01-02 14:00:00+01:00,0.3691768629786704
2018-2024,CO2,2022-01-02 15:00:00+01:00,0.3966236168065994
2018-2024,CO2,2022-01-02 16:00:00+01:00,0.47458571819210166
2018-2024,CO2,2022-01-02 17:00:00+01:00,0.42932980847758934
2018-2024,CO2,2022-01-02 18:00:00+01:00,0.36153027624302475
2018-2024,CO2,2022-01-02 19:00:00+01:00,0.2828462489898209
2018-2024,CO2,2022-01-02 20:00:00+01:00,0.2734773177522336
2018-2024,CO2,2022-01-02 21:00:00+01:00,0.26827680414589095
2018-2024,CO2,2022-01-02 22:00:00+01:00,0.19357661082919095
2018-2024,CO2,2022-01-02 23:00:00+01:00,0.13836198502631805
2018-2024,CO2,2022-01-03 00:00:00+01:00,0.07722155252784661
2018-2024,CO2,2022-01-03 01:00:00+01:00,0.052795033845448334
2018-2024,CO2,2022-01-03 02:00:00+01:00,0.0649746285329281
2018-2024,CO2,2022-01-03 03:00:00+01:00,0.062355593291392876
2018-2024,CO2,2022-01-03 04:00:00+01:00,0.04422352746633381
2018-2024,CO2,2022-01-03 05:00:00+01:00,0.0874044396896595
2018-2024,CO2,2022-01-03 06:00:00+01:00,0.38869313479400214
2018-2024,CO2,2022-01-03 07:00:00+01:00,0.8329236520996658
2018-2024,CO2,2022-01-03 08:00:00+01:00,2.171919143386224
2018-2024,CO2,2022-01-03 09:00:00+01:00,2.713031012275236
2018-2024,CO2,2022-01-03 10:00:00+01:00,3.14744881587594
2018-2024,CO2,2022-01-03 11:00:00+01:00,3.316790078397708
2018-2024,CO2,2022-01-03 12:00:00+01:00,2.56128654617424
2018-2024,CO2,2022-01-03 13:00:00+01:00,2.26308628628616
2018-2024,CO2,2022-01-03 14:00:00+01:00,2.466062945450688
2018-2024,CO2,2022-01-03 15:00:00+01:00,2.304698861098068
2018-2024,CO2,2022-01-03 16:00:00+01:00,1.7002348888167
2018-2024,CO2,2022-01-03 17:00:00+01:00,1.454930498130576
2018-2024,CO2,2022-01-03 18:00:00+01:00,0.7833815712500235
2018-2024,CO2,2022-01-03 19:00:00+01:00,0.596430659667777
2018-2024,CO2,2022-01-03 20:00:00+01:00,0.5602775092982993
