year,component,timestamp,scaling_factor
2018-2024,CO2,2022-01-01 00:00:00+01:00,1.00083082142958
2018-2024,CO2,2022-01-01 01:00:00+01:00,1.030859396300388
2018-2024,CO2,2022-01-01 02:00:00+01:00,1.049052763628928
2018-2024,CO2,2022-01-01 03:00:00+01:00,1.064875741347756
2018-2024,CO2,2022-01-01 04:00:00+01:00,1.067796428121828
2018-2024,CO2,2022-01-01 05:00:00+01:00,1.072923878328864
2018-2024,CO2,2022-01-01 06:00:00+01:00,1.0582616349623761
2018-2024,CO2,2022-01-01 07:00:00+01:00,1.05432820882026
2018-2024,CO2,2022-01-01 08:00:00+01:00,1.008164641707036
2018-2024,CO2,2022-01-01 09:00:00+01:00,0.945769110820176
2018-2024,CO2,2022-01-01 10:00:00+01:00,0.8499290981444226
2018-2024,CO2,2022-01-01 11:00:00+01:00,0.8122874157701325
2018-2024,CO2,2022-01-01 12:00:00+01:00,0.8561936082579964
2018-2024,CO2,2022-01-01 13:00:00+01:00,0.8547256204075837
2018-2024,CO2,2022-01-01 14:00:00+01:00,0.7712404066192238
2018-2024,CO2,2022-01-01 15:00:00+01:00,0.7213717556463383
2018-2024,CO2,2022-01-01 16:00:00+01:00,0.7432217339694696
2018-2024,CO2,2022-01-01 17:00:00+01:00,0.7747354338850865
2018-2024,CO2,2022-01-01 18:00:00+01:00,0.8057924220533773
2018-2024,CO2,2022-01-01 19:00:00+01:00,0.89509639088172
2018-2024,CO2,2022-01-01 20:00:00+01:00,0.944689187827872
2018-2024,CO2,2022-01-01 21:00:00+01:00,0.966734725189788
2018-2024,CO2,2022-01-01 22:00:00+01:00,0.97991989836534
2018-2024,CO2,2022-01-01 23:00:00+01:00,1.03548207951402
2018-2024,CO2,2022-01-02 00:00:00+01:00,1.058509999548468
2018-2024,CO2,2022-01-02 01:00:00+01:00,1.076869354055088
2018-2024,CO2,2022-01-02 02:00:00+01:00,1.076999843528424
2018-2024,CO2,2022-01-02 03:00:00+01:00,1.076701981921884
2018-2024,CO2,2022-01-02 04:00:00+01:00,1.067796428121828
2018-2024,CO2,2022-01-02 05:00:00+01:00,1.072923878328864
2018-2024,CO2,2022-01-02 06:00:00+01:00,1.0582616349623761
2018-2024,CO2,2022-01-02 07:00:00+01:00,1.05432820882026
2018-2024,CO2,2022-01-02 08:00:00+01:00,1.008164641707036
2018-2024,CO2,2022-01-02 09:00:00+01:00,0.945769110820176
2018-2024,CO2,2022-01-02 10:00:00+01:00,0.8499290981444226
2018-2024,CO2,2022-01-02 11:00:00+01:00,0.8122874157701325
2018-2024,CO2,2022-01-02 12:00:00+01:00,0.8561936082579964
2018-2024,CO2,2022-01-02 13:00:00+01:00,0.8547256204075837
2018-2024,CO2,2022-01-02 14:00:00+01:00,0.7712404066192238
2018-2024,CO2,2022-01-02 15:00:00+01:00,0.7213717556463383
2018-2024,CO2,2022-01-02 16:00:00+01:00,0.7432217339694696
2018-2024,CO2,2022-01-02 17:00:00+01:00,0.7747354338850865
2018-2024,CO2,2022-01-02 18:00:00+01:00,0.8057924220533773
2018-2024,CO2,2022-01-02 19:00:00+01:00,0.89509639088172
2018-2024,CO2,2022-01-02 20:00:00+01:00,0.944689187827872
2018-2024,CO2,2022-01-02 21:00:00+01:00,0.966734725189788
2018-2024,CO2,2022-01-02 22:00:00+01:00,0.97991989836534
2018-2024,CO2,2022-01-02 23:00:00+01:00,1.03548207951402
2018-2024,CO2,2022-01-03 00:00:00+01:00,1.2209403208265281
2018-2024,CO2,2022-01-03 01:00:00+01:00,1.242116952309756
2018-2024,CO2,2022-01-03 02:00:00+01:00,1.2422674656354962
2018-2024,CO2,2022-01-03 03:00:00+01:00,1.24192389661254
2018-2024,CO2,2022-01-03 04:00:00+01:00,1.245099133084584
2018-2024,CO2,2022-01-03 05:00:00+01:00,1.2156966029737442
2018-2024,CO2,2022-01-03 06:00:00+01:00,1.11611129084646
2018-2024,CO2,2022-01-03 07:00:00+01:00,0.9316201490646
2018-2024,CO2,2022-01-03 08:00:00+01:00,0.6613304096312299
2018-2024,CO2,2022-01-03 09:00:00+01:00,0.5581125869939837
2018-2024,CO2,2022-01-03 10:00:00+01:00,0.4771727173988264
2018-2024,CO2,2022-01-03 11:00:00+01:00,0.44816622020208297
2018-2024,CO2,2022-01-03 12:00:00+01:00,0.5681366809025189
2018-2024,CO2,2022-01-03 13:00:00+01:00,0.577133981523238
2018-2024,CO2,2022-01-03 14:00:00+01:00,0.5939292854186626
2018-2024,CO2,2022-01-03 15:00:00+01:00,0.5978162371896283
2018-2024,CO2,2022-01-03 16:00:00+01:00,0.6761923025644755
2018-2024,CO2,2022-01-03 17:00:00+01:00,0.7573758005312888
2018-2024,CO2,2022-01-03 18:00:00+01:00,0.921009047940588
2018-2024,CO2,2022-01-03 19:00:00+01:00,0.9928840232645519
2018-2024,CO2,2022-01-03 20:00:00+01:00,1.034155181038608
2018-2024,CO2,2022-01-03 21:00:00+01:00,1.100734663857804
2018-2024,CO2,2022-01-03 22:00:00+01:00,1.151429972574036
2018-2024,CO2,2022-01-03 23:00:00+01:00,1.215133633113336
2018-2024,CO2,2022-01-04 00:00:00+01:00,1.257175883304252
2018-2024,CO2,2022-01-04 01:00:00+01:00,1.262700252256128
2018-2024,CO2,2022-01-04 02:00:00+01:00,1.2597419108139
2018-2024,CO2,2022-01-04 03:00:00+01:00,1.262302718087124
2018-2024,CO2,2022-01-04 04:00:00+01:00,1.2585512758011361
2018-2024,CO2,2022-01-04 05:00:00+01:00,1.23953363944284
2018-2024,CO2,2022-01-04 06:00:00+01:00,1.14826247752248
2018-2024,CO2,2022-01-04 07:00:00+01:00,0.950186864902944
2018-2024,CO2,2022-01-04 08:00:00+01:00,0.7119946142546646
2018-2024,CO2,2022-01-04 09:00:00+01:00,0.5922859205469472
2018-2024,CO2,2022-01-04 10:00:00+01:00,0.503040141062304
2018-2024,CO2,2022-01-04 11:00:00+01:00,0.4816280415987569
2018-2024,CO2,2022-01-04 12:00:00+01:00,0.6477228222222929
2018-2024,CO2,2022-01-04 13:00:00+01:00,0.6136601540477215
2018-2024,CO2,2022-01-04 14:00:00+01:00,0.5716888072346079
2018-2024,CO2,2022-01-04 15:00:00+01:00,0.59048636987781
2018-2024,CO2,2022-01-04 16:00:00+01:00,0.6325863267827538
2018-2024,CO2,2022-01-04 17:00:00+01:00,0.7022509749813062
2018-2024,CO2,2022-01-04 18:00:00+01:00,0.8447090140329636
2018-2024,CO2,2022-01-04 19:00:00+01:00,0.94130073601044
2018-2024,CO2,2022-01-04 20:00:00+01:00,1.057695318215196
2018-2024,CO2,2022-01-04 21:00:00+01:00,1.125713083451172
2018-2024,CO2,2022-01-04 22:00:00+01:00,1.1506930829832478
2018-2024,CO2,2022-01-04 23:00:00+01:00,1.221048279647316
2018-2024,CO2,2022-01-05 00:00:00+01:00,1.250161561002012
2018-2024,CO2,2022-01-05 01:00:00+01:00,1.264092362718072
2018-2024,CO2,2022-01-05 02:00:00+01:00,1.266356484792312
2018-2024,CO2,2022-01-05 03:00:00+01:00,1.2654122504901482
2018-2024,CO2,2022-01-05 04:00:00+01:00,1.263840756805836
2018-2024,CO2,2022-01-05 05:00:00+01:00,1.2476104510934638
2018-2024,CO2,2022-01-05 06:00:00+01:00,1.176321353021148
2018-2024,CO2,2022-01-05 07:00:00+01:00,0.993597393787464
2018-2024,CO2,2022-01-05 08:00:00+01:00,0.7392300486008107
2018-2024,CO2,2022-01-05 09:00:00+01:00,0.657547804833821
2018-2024,CO2,2022-01-05 10:00:00+01:00,0.5197570921491677
2018-2024,CO2,2022-01-05 11:00:00+01:00,0.4966232500095874
2018-2024,CO2,2022-01-05 12:00:00+01:00,0.6605974706670815
2018-2024,CO2,2022-01-05 13:00:00+01:00,0.6959101543492109
2018-2024,CO2,2022-01-05 14:00:00+01:00,0.6336006370445982
2018-2024,CO2,2022-01-05 15:00:00+01:00,0.6027653693730453
2018-2024,CO2,2022-01-05 16:00:00+01:00,0.6124428882834483
2018-2024,CO2,2022-01-05 17:00:00+01:00,0.6799345268715983
2018-2024,CO2,2022-01-05 18:00:00+01:00,0.8574347530370457
